id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect,taskresult_geomtime,taskresult_metatime,taskresult_geomcorrect,taskresult_metacorrect
531,1,True,False,b'',"id: 454, experienced: True, age: 40","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 06:48:22.965911+00:00",1,40,True,93,10,63,30,4,6
605,1,True,False,b'',"id: 476, experienced: True, age: 46","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:55:51.423639+00:00",1,46,True,105,8,75,30,4,4
639,1,True,False,b'',"id: 513, experienced: False, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 12:55:37.137227+00:00",3,25,False,59,11,29,30,6,5
775,4,True,False,b'',"id: 584, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 09:25:40.685539+00:00",2,21,False,63,7,33,30,3,4
314,1,True,False,b'',"id: 284, experienced: True, age: 45","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 14:00:08.935767+00:00",1,45,True,124,11,94,30,6,5
409,2,True,False,b'',"id: 308, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 21:10:23.597258+00:00",1,24,True,68,10,37,31,4,6
307,1,True,False,b'',"id: 277, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 13:04:30.925160+00:00",2,34,True,105,9,74,31,5,4
297,4,True,False,b'',"id: 273, experienced: True, age: 31","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 12:35:35.674686+00:00",2,31,True,97,10,66,31,5,5
648,3,True,False,b'',"id: 489, experienced: False, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 13:33:19.070508+00:00",2,24,False,149,10,117,32,5,5
392,2,True,False,b'',"id: 368, experienced: True, age: 26","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 19:51:17.098236+00:00",2,26,True,100,11,68,32,6,5
764,2,True,False,b'',"id: 573, experienced: True, age: 30","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 06:49:46.664268+00:00",1,30,True,103,11,71,32,5,6
230,3,True,False,b'',"id: 230, experienced: True, age: 29","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:22:29.692708+00:00",3,29,True,71,11,39,32,6,5
780,3,True,False,b'',"id: 586, experienced: False, age: 20","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 10:18:52.063633+00:00",3,20,False,105,10,73,32,5,5
685,2,True,False,b'',"id: 538, experienced: True, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 20:15:44.238226+00:00",1,24,True,91,10,58,33,5,5
573,2,True,False,b'It required a few extra clicks to find out which house corresponded to which hide/show-menu',"id: 473, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:14:54.190623+00:00",2,24,True,89,11,56,33,5,6
828,1,True,False,b'',"id: 601, experienced: False, age: 19","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-09 13:52:41.716359+00:00",2,19,False,83,12,50,33,6,6
814,3,True,False,b'',"id: 596, experienced: True, age: 33","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 22:05:51.272591+00:00",1,33,True,79,9,46,33,3,6
642,5,True,False,b'Unclear if shadow or roof on first question.',"id: 515, experienced: False, age: 20","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 13:07:24.566048+00:00",1,20,False,153,9,120,33,4,5
426,4,True,False,b'',"id: 402, experienced: True, age: 39","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 05:30:17.854450+00:00",3,39,True,128,8,95,33,2,6
465,3,True,False,b'',"id: 418, experienced: False, age: 32","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 11:28:11.745690+00:00",3,32,False,87,9,54,33,4,5
180,2,True,False,b'',"id: 208, experienced: True, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 09:17:39.976451+00:00",2,25,True,116,12,83,33,6,6
461,2,True,False,b'',"id: 420, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 10:13:58.524574+00:00",1,22,False,86,7,52,34,1,6
437,1,True,False,b'',"id: 408, experienced: True, age: 37","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 07:23:24.403223+00:00",2,37,True,121,10,87,34,5,5
209,2,True,False,b'',"id: 225, experienced: True, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-02 10:51:34.949623+00:00",1,25,True,79,12,45,34,6,6
865,1,True,False,"b'I like doing the tasks individually, it seems easier to me.'","id: 621, experienced: True, age: 35","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-20 16:17:26.883695+00:00",1,35,True,96,11,62,34,5,6
415,3,False,False,b'',"id: 374, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 21:16:52.667950+00:00",3,24,True,88,8,53,35,4,4
460,2,True,False,b'',"id: 421, experienced: False, age: 22","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 10:13:53.435131+00:00",1,22,False,103,9,68,35,3,6
763,2,True,False,b'',"id: 573, experienced: True, age: 30","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-08 06:47:23.243297+00:00",3,30,True,126,11,90,36,6,5
222,3,True,False,b'',"id: 227, experienced: False, age: 30","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 13:49:39.140250+00:00",2,30,False,97,8,61,36,5,3
464,3,True,False,b'',"id: 418, experienced: False, age: 32","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 11:26:28.427262+00:00",1,32,False,147,11,111,36,5,6
196,3,True,False,b'',"id: 220, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 09:59:30.391124+00:00",2,25,False,82,9,46,36,3,6
294,2,True,False,b'',"id: 270, experienced: True, age: 27","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 12:18:01.639752+00:00",2,27,True,116,7,80,36,3,4
692,2,True,False,b'',"id: 543, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-06 08:13:21.519342+00:00",2,21,False,99,9,63,36,5,4
241,4,True,False,b'',"id: 235, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:59:35.034212+00:00",3,24,False,83,8,47,36,3,5
602,4,True,False,b'',"id: 484, experienced: False, age: 24","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 10:54:06.837859+00:00",1,24,False,167,11,131,36,6,5
458,1,True,False,b'',"id: 421, experienced: False, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-04 10:11:33.942502+00:00",3,22,False,81,10,45,36,4,6
436,3,False,False,b'',"id: 407, experienced: False, age: 26","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-04 07:23:04.805480+00:00",1,26,False,115,12,79,36,6,6
329,2,True,False,b'',"id: 296, experienced: True, age: 43","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 15:12:45.750397+00:00",1,43,True,99,12,63,36,6,6
576,2,True,False,b'',"id: 473, experienced: True, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-05 10:17:36.521491+00:00",3,24,True,111,12,75,36,6,6
179,1,True,False,b'',"id: 208, experienced: True, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 09:15:20.465753+00:00",3,25,True,103,10,67,36,4,6
637,1,True,False,b'',"id: 513, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 12:52:28.643281+00:00",2,25,False,77,7,41,36,2,5
717,1,True,False,b'',"id: 552, experienced: False, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-06 17:00:37.372751+00:00",3,25,False,122,11,85,37,6,5
713,4,True,False,b'',"id: 553, experienced: False, age: 21","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-06 15:49:19.972596+00:00",2,21,False,168,11,131,37,6,5
747,1,True,False,b'',"id: 566, experienced: False, age: 40","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-08 05:13:09.403054+00:00",1,40,False,132,10,95,37,4,6
704,2,True,False,b'',"id: 549, experienced: True, age: 23","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-06 11:07:08.551978+00:00",1,23,True,120,12,83,37,6,6
330,2,True,False,b'',"id: 295, experienced: False, age: 50","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-03 15:13:34.562605+00:00",1,50,False,137,9,100,37,5,4
