id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task
801,2017-05-08 19:58:44.077850+00:00,"[4, 2, 1, 3]",3,3,106,133,239,5,4,9,"[10, 11, 12, 13, 14]","[9, 12, 13, 14]","id: 594, experienced: True, age: 50","id: 3, title: Building geometry and metadata"
729,2017-05-07 18:14:44.683951+00:00,"[4, 2, 3, 1]",3,2,156,85,241,6,4,10,"[15, 16, 17, 18, 19, 20]","[15, 18, 19, 20]","id: 563, experienced: True, age: 46","id: 3, title: Building geometry and metadata"
530,2017-05-05 07:41:28.320348+00:00,"[4, 3, 2, 1]",3,1,122,134,256,5,4,9,"[10, 11, 12, 13, 14]","[9, 10, 13, 14]","id: 460, experienced: True, age: 36","id: 3, title: Building geometry and metadata"
238,2017-05-03 09:25:10.264095+00:00,"[4, 1, 2, 3]",3,3,183,75,258,4,3,7,"[3, 4, 5, 6]","[1, 3, 4]","id: 245, experienced: True, age: 42","id: 3, title: Building geometry and metadata"
602,2017-05-05 11:01:05.868212+00:00,"[4, 3, 1, 2]",3,1,158,107,265,5,6,11,"[10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 491, experienced: False, age: 26","id: 3, title: Building geometry and metadata"
342,2017-05-03 17:48:05.162682+00:00,"[4, 3, 1, 2]",3,1,107,166,273,3,4,7,"[10, 13, 14]","[9, 10, 13, 14]","id: 341, experienced: True, age: 47","id: 3, title: Building geometry and metadata"
540,2017-05-05 08:06:40.134287+00:00,"[4, 3, 1, 2]",3,1,116,158,274,5,5,10,"[10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 465, experienced: True, age: 44","id: 3, title: Building geometry and metadata"
660,2017-05-05 18:07:07.736920+00:00,"[4, 1, 3, 2]",3,2,147,135,282,6,4,10,"[15, 16, 17, 18, 19, 20]","[15, 18, 19, 20]","id: 534, experienced: True, age: 36","id: 3, title: Building geometry and metadata"
774,2017-05-08 10:27:38.242382+00:00,"[4, 3, 2, 1]",3,1,208,78,286,6,6,12,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 589, experienced: True, age: 52","id: 3, title: Building geometry and metadata"
296,2017-05-03 14:01:27.578499+00:00,"[4, 2, 3, 1]",3,2,190,96,286,6,3,9,"[9, 10, 11, 12, 13, 14]","[9, 13, 14]","id: 283, experienced: True, age: 54","id: 3, title: Building geometry and metadata"
